TOTAL_RESPONSE_TIME,CREATE_BUFFER,WRITE_BUFFER,CREATE_KERNEL_ARGS,CREATE_KERNEL,LAUNCH_KERNEL,READ_BUFFER,KERNEL_EXECUTION_TIME
0.003285,0.000003,0.000681,0.000001,0.000032,0.002020,0.000536,0.001823
0.003284,0.000003,0.000706,0.000001,0.000030,0.002008,0.000525,0.001818
0.003272,0.000003,0.000679,0.000001,0.000029,0.002017,0.000533,0.001820
0.003254,0.000003,0.000676,0.000001,0.000028,0.002015,0.000522,0.001826
0.003245,0.000003,0.000671,0.000002,0.000027,0.002001,0.000532,0.001808
0.003247,0.000003,0.000674,0.000001,0.000027,0.002013,0.000521,0.001823
0.003267,0.000002,0.000695,0.000001,0.000027,0.002003,0.000529,0.001815
0.003266,0.000003,0.000674,0.000001,0.000027,0.002026,0.000525,0.001830
0.003257,0.000002,0.000675,0.000001,0.000028,0.002000,0.000539,0.001811
0.003235,0.000003,0.000673,0.000001,0.000026,0.002001,0.000521,0.001812
0.003271,0.000003,0.000672,0.000001,0.000027,0.002008,0.000551,0.001815
0.003244,0.000003,0.000676,0.000001,0.000026,0.002006,0.000521,0.001815
0.003252,0.000003,0.000694,0.000001,0.000027,0.001998,0.000520,0.001804
0.003259,0.000003,0.000678,0.000001,0.000027,0.002018,0.000522,0.001821
0.003254,0.000003,0.000671,0.000001,0.000025,0.002011,0.000533,0.001820
0.003256,0.000002,0.000677,0.000001,0.000025,0.002008,0.000533,0.001820
0.003249,0.000003,0.000675,0.000001,0.000025,0.002004,0.000531,0.001813
0.003299,0.000003,0.000701,0.000002,0.000027,0.002028,0.000528,0.001824
0.003252,0.000003,0.000674,0.000001,0.000029,0.002004,0.000531,0.001814
0.003255,0.000002,0.000671,0.000002,0.000027,0.002014,0.000528,0.001813
0.003246,0.000002,0.000673,0.000001,0.000025,0.002006,0.000530,0.001815
0.003279,0.000003,0.000673,0.000001,0.000025,0.002026,0.000543,0.001830
0.003248,0.000003,0.000676,0.000001,0.000025,0.001999,0.000535,0.001817
0.003276,0.000002,0.000700,0.000001,0.000027,0.002014,0.000523,0.001820
0.003255,0.000002,0.000680,0.000001,0.000025,0.002005,0.000534,0.001813
0.003248,0.000002,0.000671,0.000001,0.000027,0.002012,0.000526,0.001820
0.003271,0.000003,0.000671,0.000001,0.000027,0.002011,0.000551,0.001823
0.003262,0.000003,0.000682,0.000001,0.000026,0.002015,0.000524,0.001820
0.003311,0.000003,0.000721,0.000001,0.000029,0.002021,0.000525,0.001821
0.003231,0.000003,0.000674,0.000001,0.000027,0.001995,0.000521,0.001806
0.003237,0.000003,0.000680,0.000001,0.000027,0.001995,0.000522,0.001804
0.003232,0.000003,0.000675,0.000001,0.000025,0.002003,0.000514,0.001816
0.003254,0.000003,0.000683,0.000001,0.000028,0.002004,0.000525,0.001816
0.003275,0.000003,0.000702,0.000001,0.000027,0.002008,0.000525,0.001819
0.003249,0.000003,0.000681,0.000001,0.000027,0.002004,0.000524,0.001798
0.003237,0.000004,0.000673,0.000001,0.000028,0.002000,0.000522,0.001807
0.003242,0.000002,0.000680,0.000001,0.000026,0.002000,0.000523,0.001811
0.003270,0.000003,0.000674,0.000001,0.000027,0.002013,0.000543,0.001824
0.003259,0.000003,0.000688,0.000001,0.000027,0.002003,0.000528,0.001823
0.003328,0.000003,0.000723,0.000001,0.000029,0.002020,0.000541,0.001830
0.003298,0.000003,0.000701,0.000001,0.000032,0.002006,0.000540,0.001813
0.003295,0.000004,0.000687,0.000001,0.000038,0.002017,0.000535,0.001821
